M1450_start M1450_end  z_start    z_end     sel.
 -28.500  -28.400    2.000    2.050   0.0000
 -28.500  -28.400    2.050    2.100   0.0000
 -28.500  -28.400    2.100    2.150   0.0000
 -28.500  -28.400    2.150    2.200   0.0000
 -28.500  -28.400    2.200    2.250   0.0000
 -28.500  -28.400    2.250    2.300   0.0050
 -28.500  -28.400    2.300    2.350   0.0050
 -28.500  -28.400    2.350    2.400   0.0050
 -28.500  -28.400    2.400    2.450   0.0050
 -28.500  -28.400    2.450    2.500   0.0050
 -28.500  -28.400    2.500    2.550   0.0100
 -28.500  -28.400    2.550    2.600   0.0200
 -28.500  -28.400    2.600    2.650   0.0300
 -28.500  -28.400    2.650    2.700   0.0200
 -28.500  -28.400    2.700    2.750   0.0200
 -28.500  -28.400    2.750    2.800   0.0200
 -28.500  -28.400    2.800    2.850   0.0200
 -28.500  -28.400    2.850    2.900   0.0200
 -28.500  -28.400    2.900    2.950   0.0250
 -28.500  -28.400    2.950    3.000   0.0350
 -28.500  -28.400    3.000    3.050   0.0550
 -28.500  -28.400    3.050    3.100   0.0850
 -28.500  -28.400    3.100    3.150   0.0650
 -28.500  -28.400    3.150    3.200   0.0800
 -28.500  -28.400    3.200    3.250   0.1000
 -28.500  -28.400    3.250    3.300   0.1050
 -28.500  -28.400    3.300    3.350   0.0500
 -28.500  -28.400    3.350    3.400   0.0200
 -28.500  -28.400    3.400    3.450   0.0000
 -28.500  -28.400    3.450    3.500   0.0000
 -28.500  -28.400    3.500    3.550   0.0000
 -28.500  -28.400    3.550    3.600   0.0100
 -28.500  -28.400    3.600    3.650   0.0000
 -28.500  -28.400    3.650    3.700   0.0000
 -28.500  -28.400    3.700    3.750   0.0000
 -28.500  -28.400    3.750    3.800   0.0000
 -28.500  -28.400    3.800    3.850   0.0000
 -28.500  -28.400    3.850    3.900   0.0050
 -28.500  -28.400    3.900    3.950   0.0050
 -28.500  -28.400    3.950    4.000   0.0000
 -28.500  -28.400    4.000    4.050   0.0000
 -28.500  -28.400    4.050    4.100   0.0050
 -28.500  -28.400    4.100    4.150   0.0050
 -28.500  -28.400    4.150    4.200   0.0100
 -28.500  -28.400    4.200    4.250   0.0150
 -28.500  -28.400    4.250    4.300   0.0000
 -28.500  -28.400    4.300    4.350   0.0000
 -28.500  -28.400    4.350    4.400   0.0150
 -28.500  -28.400    4.400    4.450   0.0150
 -28.500  -28.400    4.450    4.500   0.0250
