  0.613 &   -24.973 &   -25.050 &       1 &   -6.757 &  174.786
  0.444 &   -23.784 &   -23.850 &       1 &   -6.757 &  174.786
  0.610 &   -23.239 &   -23.250 &       2 &   -6.456 &  247.185
  0.540 &   -22.901 &   -22.950 &       4 &   -6.155 &  349.573
  0.573 &   -22.616 &   -22.650 &       2 &   -6.456 &  247.185
  0.484 &   -22.365 &   -22.350 &       1 &   -6.757 &  174.786
  0.569 &   -21.999 &   -22.050 &       1 &   -6.757 &  174.786
  0.562 &   -21.880 &   -21.750 &       1 &   -6.757 &  174.786
  0.490 &   -21.456 &   -21.450 &       2 &   -6.456 &  247.185
  0.460 &   -20.470 &   -20.550 &       1 &   -6.757 &  174.786
  0.981 &   -26.086 &   -25.950 &       1 &   -7.065 &   86.053
  0.900 &   -25.631 &   -25.650 &       3 &   -6.588 &  149.049
  0.791 &   -25.381 &   -25.350 &       1 &   -7.065 &   86.053
  0.986 &   -24.992 &   -25.050 &       2 &   -6.764 &  121.698
  0.861 &   -24.618 &   -24.750 &       1 &   -7.065 &   86.053
  0.928 &   -24.414 &   -24.450 &      12 &   -5.986 &  298.098
  0.918 &   -24.139 &   -24.150 &       7 &   -6.220 &  227.676
  0.915 &   -23.807 &   -23.850 &      13 &   -5.951 &  310.270
  0.859 &   -23.587 &   -23.550 &      10 &   -6.065 &  272.125
  0.879 &   -23.242 &   -23.250 &      13 &   -5.951 &  310.270
  0.859 &   -22.993 &   -22.950 &      12 &   -5.986 &  298.098
  0.944 &   -22.641 &   -22.650 &      18 &   -5.810 &  365.094
  0.883 &   -22.348 &   -22.350 &       7 &   -6.220 &  227.676
  0.864 &   -22.081 &   -22.050 &      16 &   -5.861 &  344.214
  0.871 &   -21.875 &   -21.750 &       3 &   -6.588 &  149.049
  0.844 &   -21.543 &   -21.450 &       4 &   -6.463 &  172.107
  0.909 &   -21.103 &   -21.150 &       2 &   -6.764 &  121.698
  0.838 &   -20.748 &   -20.850 &       1 &   -7.065 &   86.053
  0.832 &   -20.687 &   -20.550 &       1 &   -7.065 &   86.053
  0.693 &   -20.293 &   -20.250 &       1 &   -7.065 &   86.053
  1.301 &   -26.175 &   -26.250 &       4 &   -6.598 &  126.218
  1.249 &   -25.897 &   -25.950 &       2 &   -6.899 &   89.250
  1.311 &   -25.682 &   -25.650 &       6 &   -6.422 &  154.585
  1.318 &   -25.354 &   -25.350 &      14 &   -6.054 &  236.132
  1.261 &   -25.047 &   -25.050 &      16 &   -5.996 &  252.436
  1.272 &   -24.736 &   -24.750 &      13 &   -6.086 &  227.543
  1.258 &   -24.449 &   -24.450 &      26 &   -5.785 &  321.794
  1.288 &   -24.118 &   -24.150 &      18 &   -5.945 &  267.749
  1.249 &   -23.868 &   -23.850 &      35 &   -5.656 &  373.358
  1.259 &   -23.537 &   -23.550 &      33 &   -5.681 &  362.533
  1.256 &   -23.211 &   -23.250 &      32 &   -5.695 &  356.998
  1.243 &   -22.963 &   -22.950 &      30 &   -5.723 &  345.662
  1.218 &   -22.662 &   -22.650 &      29 &   -5.738 &  339.852
  1.173 &   -22.370 &   -22.350 &      19 &   -5.921 &  275.086
  1.199 &   -22.113 &   -22.050 &      10 &   -6.200 &  199.568
  1.191 &   -21.691 &   -21.750 &       4 &   -6.598 &  126.218
  1.261 &   -21.487 &   -21.450 &       3 &   -6.723 &  109.308
  1.068 &   -20.832 &   -20.850 &       1 &   -7.200 &   63.109
  1.742 &   -27.479 &   -27.450 &       2 &   -6.962 &   77.264
  1.670 &   -27.138 &   -27.150 &       1 &   -7.263 &   54.634
  1.754 &   -26.767 &   -26.850 &       1 &   -7.263 &   54.634
  1.454 &   -26.622 &   -26.550 &       1 &   -7.263 &   54.634
  1.645 &   -26.256 &   -26.250 &       6 &   -6.484 &  133.825
  1.631 &   -25.869 &   -25.950 &       5 &   -6.564 &  122.165
  1.694 &   -25.634 &   -25.650 &      11 &   -6.221 &  181.200
  1.637 &   -25.348 &   -25.350 &      24 &   -5.882 &  267.651
  1.641 &   -25.077 &   -25.050 &      16 &   -6.058 &  218.536
  1.644 &   -24.776 &   -24.750 &      30 &   -5.785 &  299.243
  1.662 &   -24.448 &   -24.450 &      40 &   -5.660 &  345.536
  1.639 &   -24.146 &   -24.150 &      37 &   -5.694 &  332.325
  1.600 &   -23.841 &   -23.850 &      38 &   -5.683 &  336.786
  1.628 &   -23.520 &   -23.550 &      40 &   -5.660 &  345.536
  1.611 &   -23.257 &   -23.250 &      30 &   -5.785 &  299.243
  1.592 &   -22.972 &   -22.950 &      22 &   -5.920 &  256.256
  1.609 &   -22.663 &   -22.650 &      10 &   -6.263 &  172.768
  1.694 &   -22.424 &   -22.350 &       4 &   -6.660 &  109.268
  1.542 &   -22.073 &   -22.050 &       4 &   -6.660 &  109.268
  1.657 &   -21.383 &   -21.450 &       1 &   -7.263 &   54.634
  2.012 &   -27.495 &   -27.450 &       4 &   -6.688 &  102.614
  1.821 &   -27.179 &   -27.150 &       1 &   -7.290 &   51.307
  2.054 &   -26.814 &   -26.850 &       6 &   -6.512 &  125.676
  2.042 &   -26.482 &   -26.550 &      10 &   -6.290 &  162.247
  2.052 &   -26.221 &   -26.250 &       8 &   -6.387 &  145.119
  2.019 &   -25.986 &   -25.950 &      16 &   -6.086 &  205.229
  2.045 &   -25.640 &   -25.650 &      23 &   -5.928 &  246.060
  1.938 &   -25.351 &   -25.350 &      20 &   -5.989 &  229.453
  1.996 &   -25.040 &   -25.050 &      21 &   -5.968 &  235.119
  2.007 &   -24.716 &   -24.750 &      31 &   -5.798 &  285.666
  2.007 &   -24.427 &   -24.450 &      23 &   -5.928 &  246.060
  2.005 &   -24.133 &   -24.150 &      40 &   -5.688 &  324.495
  2.008 &   -23.871 &   -23.850 &      28 &   -5.843 &  271.492
  1.974 &   -23.561 &   -23.550 &      29 &   -5.827 &  276.298
  1.976 &   -23.317 &   -23.250 &      15 &   -6.114 &  198.712
  2.017 &   -22.997 &   -22.950 &       8 &   -6.387 &  145.119
  1.966 &   -22.684 &   -22.650 &       4 &   -6.688 &  102.614
  2.048 &   -22.423 &   -22.350 &       2 &   -6.989 &   72.559
  2.495 &   -28.955 &   -28.950 &       1 &   -7.320 &   47.826
  2.419 &   -27.146 &   -27.150 &       3 &   -6.843 &   82.836
  2.400 &   -26.822 &   -26.850 &       6 &   -6.542 &  117.148
  2.423 &   -26.502 &   -26.550 &       6 &   -6.542 &  117.148
  2.341 &   -26.271 &   -26.250 &      10 &   -6.320 &  151.238
  2.339 &   -25.913 &   -25.950 &      10 &   -6.320 &  151.238
  2.388 &   -25.646 &   -25.650 &      21 &   -5.998 &  219.165
  2.350 &   -25.359 &   -25.350 &      19 &   -6.042 &  208.467
  2.411 &   -25.049 &   -25.050 &      13 &   -6.206 &  172.438
  2.336 &   -24.752 &   -24.750 &      19 &   -6.042 &  208.467
  2.347 &   -24.473 &   -24.450 &      13 &   -6.206 &  172.438
  2.379 &   -24.131 &   -24.150 &      27 &   -5.889 &  248.509
  2.349 &   -23.864 &   -23.850 &      16 &   -6.116 &  191.302
  2.394 &   -23.521 &   -23.550 &       8 &   -6.417 &  135.271
  2.419 &   -23.258 &   -23.250 &       8 &   -6.417 &  135.271
  2.388 &   -23.017 &   -22.950 &       2 &   -7.019 &   67.636
  2.347 &   -22.758 &   -22.650 &       1 &   -7.320 &   47.826
  2.390 &   -22.370 &   -22.350 &       5 &   -6.621 &  106.941
